descmunicipio;ano;altitude;CodClima;CodRegiao;precipitacao_Janeiro;precipitacao_Fevereiro;precipitacao_Marco;precipitacao_Abril;precipitacao_Maio;precipitacao_Junho;precipitacao_Julho;precipitacao_Agosto;precipitacao_Setembro;precipitacao_Outubro;precipitacao_Novembro;precipitacao_Dezembro;
ANGRA DOS REIS;1939;6;7;6;126,5;37,0;20,2;97,2;5,0;9,2;5,0;10,2;14,2;31,7;162,7;145,2;
ANGRA DOS REIS;1940;6;7;6;197,1;130,8;185,6;27,0;0,0;8,7;3,1;6,5;42,2;113,4;100,1;98,9;
ANGRA DOS REIS;1941;6;7;6;124,1;96,7;61,6;49,4;26,0;2,3;61,0;6,4;152,8;47,6;52,7;295,2;
ANGRA DOS REIS;1942;6;7;6;189,3;29,2;117,9;45,6;39,3;7,9;9,2;13,0;14,0;148,8;127,6;347,4;
ANGRA DOS REIS;1943;6;7;6;282,4;63,4;48,4;48,9;1,2;64,5;2,0;25,7;24,1;174,2;27,6;192,9;
ANGRA DOS REIS;1944;6;7;6;88,1;280,0;31,1;24,3;45,8;6,7;23,9;0,0;16,6;67,0;66,5;158,6;
ANGRA DOS REIS;1945;6;7;6;142,0;60,8;149,7;84,1;50,1;48,5;4,2;10,8;13,0;58,0;209,5;162,5;
ANGRA DOS REIS;1946;6;7;6;146,1;2,4;69,0;96,3;19,2;15,4;8,4;0,0;58,0;72,4;124,6;109,8;
ANGRA DOS REIS;1947;6;7;6;132,7;121,0;137,9;31,1;15,6;0,0;108,9;71,1;28,9;152,7;94,7;195,1;
ANGRA DOS REIS;1948;6;7;6;39,5;119,9;164,1;5,6;48,4;16,4;33,9;14,6;12,5;38,3;76,0;283,7;
ANGRA DOS REIS;1949;6;7;6;210,5;145,8;39,9;112,8;20,4;26,8;5,8;3,4;1,2;98,5;116,1;161,1;
ANGRA DOS REIS;1950;6;7;6;149,1;89,6;67,0;92,4;5,3;34,8;10,4;2,3;16,5;118,6;215,9;97,7;
ANGRA DOS REIS;1951;6;7;6;285,0;193,6;140,4;14,8;15,8;38,2;21,4;3,3;11,2;21,6;59,1;193,7;
ANGRA DOS REIS;1952;6;7;6;137,2;133,4;128,5;71,0;1,4;57,1;12,5;13,4;40,0;63,4;189,9;219,8;
ANGRA DOS REIS;1953;6;7;6;37,2;163,7;91,9;86,8;41,9;8,8;0,8;24,5;61,6;39,3;135,8;220,2;
ANGRA DOS REIS;1954;6;7;6;58,3;23,8;86,3;58,8;79,3;7,6;1,1;7,4;0,0;43,9;63,4;154,7;
ANGRA DOS REIS;1955;6;7;6;106,8;26,3;31,2;35,1;36,0;24,3;8,2;0,3;0,0;55,0;189,6;203,3;
ANGRA DOS REIS;1956;6;7;6;0,0;36,4;133,1;4,7;41,6;10,9;15,4;0,7;54,5;62,5;97,9;256,0;
ANGRA DOS REIS;1957;6;7;6;125,1;149,3;88,9;107,4;47,2;22,4;23,7;3,3;135,7;5,1;224,9;360,6;
ANGRA DOS REIS;1958;6;7;6;96,0;60,8;70,4;95,9;61,4;11,0;107,8;9,2;91,4;136,8;79,9;114,7;
ANGRA DOS REIS;1959;6;7;6;96,9;3,1;136,7;28,1;27,1;12,2;0,0;17,6;0,0;75,4;90,8;167,7;
ANGRA DOS REIS;1960;6;7;6;92,0;77,9;166,6;82,9;39,4;46,8;14,8;12,3;64,1;50,9;115,8;114,5;
ANGRA DOS REIS;1961;6;7;6;351,0;125,3;53,0;69,7;37,1;24,6;4,2;7,2;2,0;2,0;26,2;120,4;
ANGRA DOS REIS;1962;6;7;6;283,1;271,7;2,8;100,4;54,6;5,2;96,7;12,4;79,5;135,2;176,7;267,8;
ANGRA DOS REIS;1963;6;7;6;89,5;73,3;8,3;16,3;18,1;0,0;7,1;10,2;0,0;4,5;89,5;76,0;
ANGRA DOS REIS;1964;6;7;6;315,8;372,3;214,6;79,7;22,0;58,2;69,0;8,6;9,2;132,5;62,8;325,2;
ANGRA DOS REIS;1965;6;7;6;276,8;160,8;156,5;77,6;72,4;39,8;23,0;11,4;43,8;217,8;176,4;103,6;
ANGRA DOS REIS;1966;6;7;6;315,0;0,6;68,6;140,0;40,1;3,5;26,0;4,6;63,8;116,6;287,2;111,4;
ANGRA DOS REIS;1967;6;7;6;215,6;184,7;81,6;79,4;48,4;0,0;7,0;0,0;11,6;47,0;175,6;149,2;
ANGRA DOS REIS;1968;6;7;6;79,6;174,0;60,2;39,0;15,0;8,0;55,0;27,4;122,4;53,0;49,0;174,0;
ANGRA DOS REIS;1969;6;7;6;256,0;51,0;85,0;37,0;5,0;91,6;11,0;21,0;16,0;178,0;113,0;216,0;
ANGRA DOS REIS;1970;6;7;6;39,0;41,0;28,0;53,0;0,0;21,8;34,6;51,6;74,8;98,2;194,6;70,6;
ANGRA DOS REIS;1971;6;7;6;40,6;40,2;61,4;37,4;32,4;40,2;21,4;59,0;85,4;159,4;330,2;205,0;
ANGRA DOS REIS;1972;6;7;6;94,2;171,1;157,0;111,2;42,8;0,0;89,0;52,7;54,6;58,0;155,7;192,9;
ANGRA DOS REIS;1973;6;7;6;200,4;138,8;114,5;25,6;27,8;19,2;1,2;14,8;22,8;79,0;70,4;32,8;
ANGRA DOS REIS;1974;6;7;6;181,1;88,4;68,6;93,3;17,1;38,3;0,0;3,2;0,0;106,1;86,6;131,1;
ANGRA DOS REIS;1975;6;7;6;143,3;134,8;41,5;45,6;94,4;14,8;24,5;0,0;37,5;210,0;224,4;76,2;
ANGRA DOS REIS;1976;6;7;6;20,0;99,4;79,2;6,2;66,8;10,6;61,0;111,6;122,4;123,0;55,1;326,0;
ANGRA DOS REIS;1977;6;7;6;49,9;0,0;58,4;52,0;11,2;14,0;10,2;20,8;60,0;24,3;206,4;170,4;
ANGRA DOS REIS;1982;6;7;6;87,7;71,8;296,9;38,0;10,4;20,8;35,6;68,2;6,6;67,0;177,6;183,6;
ANGRA DOS REIS;1983;6;7;6;184,4;73,6;113,2;115,2;39,6;35,1;26,2;9,2;165,6;198,0;197,4;256,0;
ANGRA DOS REIS;1984;6;7;6;65,0;9,0;86,0;74,2;0,0;0,0;9,0;53,2;56,8;41,6;212,6;329,8;
ANGRA DOS REIS;1985;6;7;6;269,6;76,2;196,0;14,2;31,0;25,7;0,0;30,2;60,3;111,2;105,5;187,1;
ANGRA DOS REIS;1986;6;7;6;109,6;78,8;94,0;31,9;4,6;15,4;9,8;47,9;13,9;9,3;77,5;289,7;
ANGRA DOS REIS;1987;6;7;6;170,7;10,9;132,6;70,1;49,6;23,0;16,2;0,0;46,6;90,0;90,9;95,2;
ANGRA DOS REIS;1988;6;7;6;117,0;174,9;90,0;40,9;109,6;43,2;2,1;0,0;0,0;93,6;107,1;228,6;
ANGRA DOS REIS;1989;6;7;6;220,3;109,6;77,7;64,5;11,8;40,1;30,8;0,0;103,3;80,1;54,1;110,6;
ANGRA DOS REIS;1990;6;7;6;33,9;106,3;63,0;14,0;53,3;13,0;18,0;0,0;39,6;85,4;54,2;102,8;
ANGRA DOS REIS;1991;6;7;6;302,1;92,8;72,0;57,3;17,4;16,8;30,9;11,3;53,0;51,0;156,3;177,7;
ANGRA DOS REIS;1992;6;7;6;148,5;74,7;45,0;128,3;84,3;5,3;22,1;22,6;121,5;106,1;165,0;175,7;
ANGRA DOS REIS;1993;6;7;6;88,6;111,9;72,4;45,0;13,4;26,5;5,3;10,2;62,2;71,4;41,3;194,6;
ANGRA DOS REIS;1994;6;7;6;179,4;7,0;142,4;77,0;40,7;64,2;33,1;10,6;0,0;31,4;83,1;156,1;
ANGRA DOS REIS;1995;6;7;6;126,8;203,1;74,2;82,6;22,8;0,0;31,3;20,3;47,6;162,4;148,8;257,0;
ANGRA DOS REIS;1996;6;7;6;232,6;131,0;118,9;61,8;31,4;20,4;5,0;60,9;130,2;92,1;274,5;208,7;
ANGRA DOS REIS;1997;6;7;6;150,8;83,3;120,8;21,0;20,5;10,3;0,0;20,3;133,9;124,2;139,7;159,4;
ANGRA DOS REIS;1998;6;7;6;184,7;117,4;41,5;40,9;82,2;31,5;5,0;52,3;12,0;116,5;163,3;204,7;
ANGRA DOS REIS;1999;6;7;6;256,7;81,9;123,3;15,3;15,2;10,4;25,5;21,1;61,8;132,3;353,2;229,1;
ANGRA DOS REIS;2000;6;7;6;77,1;114,3;238,0;48,0;55,6;10,0;8,0;27,3;61,3;91,7;183,3;214,2;
ANGRA DOS REIS;2001;6;7;6;152,7;142,8;20,3;61,6;13,0;0,0;9,7;71,4;71,4;137,9;174,1;321,0;
ANGRA DOS REIS;2002;6;7;6;261,1;72,6;18,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
