DESVIO PADRAO (1961 A 1970)																		
MunicÍpio	Altitude	Cod.Clima	Cod.Região	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Inicio	Fim	
ANGRA DOS REIS	6	7	6	112,2	113,7	65,7	35,4	23,2	30,1	31	14,9	41,5	71,7	80,8	84,7	1961	1970	
AREAL	444	1	2	104,8	107,2	56,5	32,7	36,2	13,2	16,7	31,4	27,1	44,5	61	100	1961	1970	
BARRA DO PIRAÍ	363	1	6	141,8	164,8	112,8	40,4	33	36,6	22,5	30,6	55,6	72,6	105,8	65,2	1961	1970	
BARRA MANSA	381	11	6	65,3	143	117,3	25,5	29,2	13,7	14,4	38,2	35,8	32,3	54,6	45,2	1961	1970	
BOM JARDIM	560	1	2	142,6	144	54,4	48,7	56,6	19,5	21,7	28,1	43,4	44,7	106,6	111,5	1961	1970	
CACHOEIRAS DE MACACU	57	1	3	79	104,9	103,7	59,7	20,5	12,6	31,7	44,8	50,3	60,3	106,1	64,2	1967	1970	
CAMBUCI	35	7	4	137,6	107,4	61,6	30,1	12,5	21,5	33,4	20,3	34,9	74,6	92,8	75,4	1961	1970	
CAMPOS DOS GOYTACAZES	13	7	5	35,7	68,6	44,1	25,4	12,6	66,3	45,1	12,8	29	59,1	54,6	25,6	1966	1970	
CARDOSO MOREIRA	22	1	5	138,1	88,8	51,1	17,9	20,1	53,7	26,9	22,5	34,9	68,1	83,6	100,2	1961	1970	
CASIMIRO DE ABREU	17	7	1	102	131,5	66,4	55,5	19,2	124,2	75,4	34,4	48,5	56,3	47,5	146,1	1967	1970	
ITAOCARA	60	7	4	60,9	142,7	77,4	63,7	23,3	78,7	37,9	32,1	36,1	60,1	75,3	109,2	1964	1970	
ITAPERUNA	108	14	4	100,2	109,9	70,1	32,9	32,5	29,1	23,9	14,4	21,8	72,3	95	84,7	1961	1970	
ITATIAIA	390	1	6	114,1	72,3	73,6	37,3	25,8	14,2	19,3	33,9	37,9	50,2	70,7	95	1961	1970	
NITEROI	5	6	3	108,1	116	55,9	61,9	16,9	14,8	20,8	36,3	23,2	64,2	75,5	77,8	1967	1970	
NOVA FRIBURGO	846	3	2	165,5	104,3	78,3	74,3	13,4	19,3	10,6	47	31,6	33,6	140,2	76	1965	1970	
PARATI	5	7	6	220,7	101,7	55,8	94,2	35,9	48,7	34,2	45,9	54,7	24,8	55,6	104,1	1962	1970	
PETRÓPOLIS	809	1	3	147,3	72,1	144	49,1	29	15	15,9	67,8	46,7	115,3	68,7	146,2	1961	1965	
PORCIÚNCULA	90	2	4	129,9	92,2	70,3	48,3	21,6	16,9	18,4	17,7	38,1	67,7	63,1	101	1961	1970	
QUATIS	415	2	6	204,2	172,2	103,3	41,3	34,6	34,1	33,1	32	53,7	60,9	106,9	65	1961	1970	
QUISSAMA	19	7	5	52,6	45,6	70,8	59,7	20,7	106,2	26,4	21,3	43,8	62,7	96,3	101,7	1966	1970	
RESENDE	407	8	6	132	107,3	95	64,1	27,1	18	25,1	29,6	32,7	64,8	103,8	69,6	1961	1970	
RIO DAS FLORES	525	10	6	116,8	154,9	96,8	37	32,4	20,8	16,1	27,4	31,7	70,1	68,3	76,1	1961	1970	
SANTO ANTONIO DE PADUA	86	1	4	101,9	83,1	63,2	26,4	4,8	9,3	5,6	23,3	39,5	40,7	128,3	91,6	1966	1970	
SAO FIDELIS	15	4	5	117,4	98	34,3	29	17,4	39,1	27,1	18,1	36,3	55,7	77,5	61,2	1961	1970	
SAO PEDRO DA ALDEIA	5	7	1	109	92,6	66,5	33,5	35,3	14,9	22,6	14,8	39,3	74,8	95	123,7	1961	1970	
SILVA JARDIM	35	7	1	24,7	174,7	133,1	44,8	12,8	62,3	22,2	19,1	29,9	49,8	109,4	97,4	1967	1970	
SUMIDOURO	355	11	2	139,8	111,1	84,2	37,3	44,1	18,1	14,4	20	38	64	71,1	111	1961	1970	
TRAJANO DE MORAIS	655	1	2	85,1	77,5	64,1	95,2	30	97,1	70	42,9	38,5	65,3	94	95,9	1965	1970	
TRES RIOS	269	7	2	132,9	118,9	84,8	19,5	23,6	10,1	14,9	21,3	13,1	98	106,8	124,7	1961	1970	
VALENCA	560	11	6	84,9	111	115	25,9	25,2	25,4	14,3	33,6	41,7	47	74,8	82,7	1961	1970	
VOLTA REDONDA	390	9	6	110,3	121	121	34,1	28,4	14,7	15,8	26,8	35,6	47,1	48	91,8	1961	1970	
