DESVIO PADRÃO (1971 a 1980)																	
MunicÍpio	Altitude	Cod.Clima	Cod.Região	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Inicio	Fim
ANGRA DOS REIS	6	7	6	71,7	59,7	39,8	37,1	29,5	14,7	33,3	39,9	40,5	62,7	99,7	95,6	1971	1977
AREAL	444	1	2	65,7	96	35,3	49,2	16,3	25,5	19,4	34,2	42,8	60,6	98	66,1	1971	1977
BARRA DO PIRAÍ	363	1	6	72,7	126,1	70	51,7	28	32,3	26,4	33,9	63	28,8	106,9	53,7	1971	1977
BARRA MANSA	381	11	6	68	93	47,9	42,7	34,9	34,9	24,4	37,7	45,8	35,5	92,9	63,1	1971	1977
BOM JARDIM	560	1	2	100,7	63	82,1	33,2	17,1	17,6	24,4	24,6	58,3	47,4	91,7	104,6	1971	1980
CACHOEIRAS DE MACACU	57	1	3	84,2	119,7	65,1	55,9	58,9	23,1	32,5	53,8	33,7	34,5	96,6	78,2	1971	1980
CAMBUCI	35	7	4	87,8	60,7	41,7	45,5	24,8	15,7	34,3	39,2	32,8	76,2	56,8	60,5	1971	1977
CAMPOS DOS GOYTACAZES	13	7	5	86,6	53,8	27,2	25,7	34,5	28,5	28,6	24,7	46,4	31,3	84	42,1	1971	1980
CARDOSO MOREIRA	22	1	5	67,3	67,6	56,4	27,9	18,4	29,3	35,3	22	61,8	48,6	71,7	88,5	1971	1977
CASIMIRO DE ABREU	17	7	1	176,7	84,9	104	82,5	87,4	39,3	53	106,4	57,7	93,1	129,6	121,7	1971	1980
ITAOCARA	60	7	4	147,3	60	43,9	82,1	20,7	24,7	43,3	38,8	58,4	109,2	87,6	73,5	1971	1980
ITAPERUNA	108	14	4	147,7	83,1	42,5	33,6	22,8	19,3	34,1	19,6	51,5	40,6	96,1	34,3	1971	1980
ITATIAIA	390	1	6	65	87,5	156,5	39,1	41,8	36,9	32,8	26,5	40,7	51,5	93	54,6	1971	1977
NITEROI	5	6	3	80,7	63,3	52,2	53,6	41,4	26,4	28,5	27,7	20,6	43,2	50,9	79,7	1971	1980
NOVA FRIBURGO	846	3	2	104,6	133,7	100,7	30,2	27,6	24,8	23,2	28,9	55,1	67,4	100,8	101,4	1971	1980
PARATI	5	7	6	82,6	119	90,9	52,2	60,9	31,1	40,3	49,8	75,7	43,4	73,8	44,3	1971	1980
PETRÓPOLIS	809	1	3	93,6	82,1	53,9	76,9	58,8	50,2	33,4	47,2	40,2	60,9	88,9	113,3	1971	1977
PORCIÚNCULA	90	2	4	80,7	100,4	33,7	68,5	31,6	20,3	33	29,1	49,6	57,9	104,5	64,9	1971	1977
QUATIS	415	2	6	207,8	181,4	181	76,3	39,7	13,3	18,7	27,2	93,1	107,5	154,6	179,5	1971	1977
QUISSAMA	19	7	5	73,1	62,7	48,6	47,7	35	32	32,7	32,4	39,8	50,2	89,3	69,8	1971	1980
RESENDE	407	8	6	113,3	78,8	129,9	68,5	25,6	28,5	12,6	24,3	40,2	61,3	96,2	134,7	1971	1979
RIO DAS FLORES	525	10	6	91,5	78,8	55,4	35,6	35,1	35,3	19,9	26,4	48,7	52,2	69,6	44,2	1971	1977
SANTO ANTONIO DE PADUA	86	1	4	107,3	86,1	66,1	38	23,6	13,6	30,1	38,5	38,2	68,6	64,1	75	1971	1980
SAO FIDELIS	15	4	5	83,7	59,6	46,2	47,4	18,1	25	30,9	34,4	43,9	51,8	72,2	56,7	1971	1977
SAO FRANCISCO DE ITABAPOANA	8	7	5	79,7	49,9	51,6	77,3	32,9	27,1	30,1	31,6	43,2	73,9	48	43	1972	1980
SAO PEDRO DA ALDEIA	5	7	1	131,6	100	46,4	41,9	17,1	29	30,1	27	55,9	45,4	84,6	83,7	1971	1977
SILVA JARDIM	35	7	1	91	114,1	96,7	57,8	65,5	26,8	20,4	85,4	47,8	46,8	100,2	111,3	1971	1980
SUMIDOURO	355	11	2	113,2	80,8	58,4	61	21	37,4	22,9	21	65	56,3	106,3	113,1	1971	1977
TRAJANO DE MORAIS	655	1	2	95	144,1	53,1	58,3	33,4	18,1	30,4	30,4	58,9	58,5	113,1	79,3	1971	1980
TRES RIOS	269	7	2	107,1	82,2	22,3	16,6	22	31,3	16,8	19,3	62,4	73,3	82,1	60,1	1971	1977
VALENCA	560	11	6	53,8	104,8	52,8	29	31,4	22,5	15,9	30,4	49,5	14,6	69,3	90,9	1971	1977
VOLTA REDONDA	390	9	6	67,6	115,3	35,7	48,4	28,9	34	40,3	71,9	41	37,2	85,2	75,5	1971	1977
