DESVIO PADRÃO (1981 A 1990)																	
MunicÍpio	Altitude	Cod.Clima	Cod.Região	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Inicio	Fim
ANGRA DOS REIS	6	7	6	76,8	50,6	74,6	32,7	34,4	13,9	12,5	27,2	52,4	51,8	60,8	84,9	1982	1990
AREAL	444	1	2	111,1	107,7	46,7	43,6	29,2	69,1	17,5	25,1	83,1	49,9	54,1	106,7	1982	1990
BARRA DO PIRAÍ	363	1	6	107,8	170,2	82,9	61,9	31	53,2	26,5	22,5	79	61,6	51,5	138,6	1982	1990
BARRA MANSA	381	11	6	85,5	145,2	75,8	63,4	42,3	32,3	26,8	22,4	59,2	83,8	33,8	110,6	1982	1990
BOM JARDIM	560	1	2	85,8	69,5	87,4	51,5	33,7	49,3	18,5	26,6	76,5	50,3	80,3	111,4	1981	1990
CACHOEIRAS DE MACACU	57	1	3	90,8	121,3	53,6	32,2	70,5	50,6	32,1	35,4	69,3	40,9	64,3	132,8	1981	1990
CAMBUCI	35	7	4	109,3	60,3	83,4	61,9	43,6	17,3	14	29,7	43,7	61,5	76	104,8	1982	1990
CAMPOS DOS GOYTACAZES	13	7	5	119,4	95	37,9	53,5	51,8	40,5	52	69,7	129,2	121,4	82,5	81,1	1981	1990
CARDOSO MOREIRA	22	1	5	98	82	74,3	28,5	27,8	17,2	17,9	30,7	51,5	62,8	64,3	65,2	1982	1990
CASIMIRO DE ABREU	17	7	1	122,9	137,4	110	61,3	52,3	66,2	53,8	41,7	91,4	60,3	77,2	80,7	1981	1990
ITAGUAI	13	7	3	0	0	0	155,4	37,5	106,2	75,5	39,4	37,4	70,4	7,9	31,6	1989	1990
ITAOCARA	60	7	4	118,7	56,3	114,4	46,7	34,2	29,9	22,8	41,3	43,4	46,7	111,3	133,3	1981	1990
ITAPERUNA	108	14	4	60,4	62,8	23,8	66,6	26,7	24,7	40,3	30,7	44,5	83,4	50,7	40,7	1981	1990
ITATIAIA	390	1	6	90,7	125,6	89,8	67,7	22,2	35,2	32,1	30,2	66,9	64,4	45,1	103,1	1982	1990
MANGARATIBA	18	7	3	0	0	0	300,5	47,1	102,3	49,6	100,9	35,7	79,1	37,7	51,1	1989	1990
NITEROI	5	6	3	106,7	177	78,4	69	37,6	51,2	34,5	22	60,4	41,3	83,1	83,6	1981	1990
NOVA FRIBURGO	846	3	2	90,7	137	111,2	72,2	38,6	23,2	20	19,9	48	36,7	70,6	158,7	1981	1990
PARAIBA DO SUL	275	1	2	88,2	92,4	50,1	46,7	26,4	53,2	15,7	23,7	67,6	36,5	34,8	86,7	1982	1990
PARATI	5	7	6	110,8	128,2	116,7	54,1	46,1	44,7	51,5	36,2	58,1	59,1	41,3	96,5	1981	1990
PETRÓPOLIS	809	1	3	139	170,1	152,7	61,1	53,5	72,1	32,1	22,7	89,8	54	83,6	111,6	1982	1990
PORCIÚNCULA	90	2	4	129,8	77,5	83	74,4	25,1	28	19,4	27,3	39,7	51,4	57,3	78,1	1982	1990
QUATIS	415	2	6	187,3	159	84,4	69,1	42,9	39,2	30,6	34,9	75,4	79,5	42,6	126,4	1982	1990
QUISSAMA	19	7	5	61,6	63,5	39,7	28,9	23,9	40,4	19,7	34,7	71,8	74	56,6	44,8	1981	1990
RIO DAS FLORES	525	10	6	83,1	106,7	69,4	58,8	28,7	39,6	20,7	19,8	77,1	49	48,9	113,6	1982	1990
SANTO ANTONIO DE PADUA	86	1	4	121,7	48,7	69,9	50,1	39,5	28,8	13,4	25,4	49,5	54,2	80,1	111,9	1981	1990
SAO FIDELIS	15	4	5	13,7	65,1	14,6	32,1	37,7	49,7	17,3	0	36,4	13,4	58,3	61,6	1989	1990
SAO FRANCISCO DE ITABAPOANA	8	7	5	73,1	70,8	72,5	52,1	13,8	26,1	10,7	23,4	58,3	29	105,5	52,4	1981	1990
SAO PEDRO DA ALDEIA	5	7	1	113,6	120	70,5	53,3	25,1	39,2	12,9	19	70,6	63,6	53,9	104,4	1982	1990
SILVA JARDIM	35	7	1	147,3	176	89,1	72,8	64,5	73,4	38	30,8	68,5	40,7	81,8	95,6	1981	1990
SUMIDOURO	355	11	2	136,5	98,9	126,7	50,4	28,9	40	16,1	16,9	68,2	52,8	49,9	109,6	1982	1990
TRAJANO DE MORAIS	655	1	2	403,2	87,1	376,4	97	34,3	30,3	82,6	44,5	192,1	100,2	84,5	271,7	1981	1990
TRES RIOS	269	7	2	119,5	93,3	110,8	37,6	31,8	40,5	20,7	23,4	73,6	43,1	39,7	106,7	1982	1990
VALENCA	560	11	6	110	113,7	61,5	61,1	27	44,9	19,3	16,8	96,6	62,7	59,1	125,5	1982	1990
VOLTA REDONDA	390	9	6	94,1	163,6	105,1	58,3	35,2	44,7	26,3	25,1	73	82,8	24,8	127,2	1982	1990
