MÉDIAS (1971 a 1980)																	
MunicÍpio	Altitude	Cod.Clima	Cod.Região	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Inicio	Fim
ANGRA DOS REIS	6	7	6	104,2	96,1	82,9	53	41,8	19,6	29,6	37,4	54,7	108,5	161,3	162,1	1971	1977
AREAL	444	1	2	191,2	115,6	88,8	56,3	31,3	23,3	19,1	31,2	47,9	136,2	190,6	145,4	1971	1977
BARRA DO PIRAÍ	363	1	6	278	183,8	172,8	109,9	35,8	27,8	24,8	34,8	79	151	223,7	213,5	1971	1977
BARRA MANSA	381	11	6	206,6	149,4	143,2	93,9	41,8	30,5	18,2	29,1	44,3	94,5	149,4	232,9	1971	1977
BOM JARDIM	560	1	2	215,1	117,1	120,7	72	47,2	24,7	24,7	31,8	57,8	136,7	211,6	282	1971	1980
CACHOEIRAS DE MACACU	57	1	3	240,9	191,9	170,8	120,5	103,3	48,9	51,1	75,4	95,3	119,1	249,7	264,2	1971	1980
CAMBUCI	35	7	4	135,8	84,6	90,2	56,4	46,3	17,8	27,7	31,9	52,6	127,1	183,9	180,2	1971	1977
CAMPOS DOS GOYTACAZES	13	7	5	85,9	52,5	35,4	67,3	72,3	33,7	35,9	32,2	59,3	65,3	118,9	91,1	1971	1980
CARDOSO MOREIRA	22	1	5	113,5	60,9	52,6	49,4	35,2	24,4	29,6	25,4	69,9	117,8	143,4	169,3	1971	1977
CASIMIRO DE ABREU	17	7	1	229,3	122,2	132,2	149,7	104,5	52,6	75,8	104,5	135,4	166,3	299,3	318,1	1971	1980
ITAOCARA	60	7	4	191,4	79,9	83,3	107	58,2	24,6	43,2	42,4	77,1	150,6	214,6	249,8	1971	1980
ITAPERUNA	108	14	4	202,1	108,8	112	90,5	42	26,6	33,4	20,4	72,2	115,6	210,5	202,8	1971	1980
ITATIAIA	390	1	6	228,1	152,9	241,4	107,1	41,8	34,8	22,3	29	73,6	116,6	207,2	271	1971	1977
NITEROI	5	6	3	164,4	122,7	123	110,9	75,7	38,4	42	51,8	75,3	92,1	142,8	205,2	1971	1980
NOVA FRIBURGO	846	3	2	240,2	208,5	159,6	91,3	54,2	25,6	36	32,7	72,1	125	258,1	282,5	1971	1980
PARATI	5	7	6	250,7	195,3	182	123,5	68,9	43,6	44,1	62,6	112,6	129,3	162	230,1	1971	1980
PETRÓPOLIS	809	1	3	247,9	217,6	166,1	144,6	94,3	55,5	45,5	70,2	95,5	145,4	216,2	291,3	1971	1977
PORCIÚNCULA	90	2	4	174,3	112,6	122,5	94,6	40,9	17,9	28,9	25,1	64,6	143,4	238	240,3	1971	1977
QUATIS	415	2	6	530	331,1	453,8	159,4	59,5	13,5	11,4	31,6	106,4	254,1	339,9	442,8	1971	1977
QUISSAMA	19	7	5	111,9	77	49,2	69,1	65,9	30,9	49,8	36,3	69,9	79	154	147,3	1971	1980
RESENDE	407	8	6	183	124,7	160,9	51,8	21,7	17,7	8,4	28,8	43,1	57	96,6	159,9	1971	1979
RIO DAS FLORES	525	10	6	253,7	139,3	123,1	65,5	47,1	25,2	21	19,9	58,1	140,3	193,5	215,2	1971	1977
SANTO ANTONIO DE PADUA	86	1	4	174,8	104,1	79,4	65,7	47,2	17,3	25,9	41,2	56,6	129,6	213,8	216,8	1971	1980
SAO FIDELIS	15	4	5	136,5	77,2	75,8	59,5	45,3	27	27,7	26,8	50,3	103,4	144,1	164	1971	1977
SAO FRANCISCO DE ITABAPOANA	8	7	5	107,6	66,6	55,2	60,4	45,6	28,2	39,9	34,7	66,5	111,1	116,5	123,8	1972	1980
SAO PEDRO DA ALDEIA	5	7	1	181,8	118,3	91,7	56,7	38,9	36,1	27,2	26,8	65	117,6	197,8	205,4	1971	1977
SILVA JARDIM	35	7	1	277,8	223,4	208,6	149,3	128,5	50	49	102,7	119,2	162,1	264,3	332,6	1971	1980
SUMIDOURO	355	11	2	235,1	138,8	117,8	79,7	26,4	30	21,9	20,1	70	130,2	184,6	226	1971	1977
TRAJANO DE MORAIS	655	1	2	208,7	187,6	116,7	110,3	72,6	32,4	37	48	89,9	157,6	261,5	281,8	1971	1980
TRES RIOS	269	7	2	167	95,8	77,7	47,4	32,3	28,9	12,4	19,4	61,5	123,1	179	193	1971	1977
VALENCA	560	11	6	237,6	163,1	120	71,5	32,1	21,7	26,4	19,8	60,5	131,6	199,5	185,2	1971	1977
VOLTA REDONDA	390	9	6	192,7	151,5	158,7	84,5	40,5	30,6	31,4	53,7	54,3	117,4	149,3	225,2	1971	1977
