MÉDIA (2007 a 2009)																	
MunicÍpio	Altitude	Cod.Clima	Cod.Região	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Inicio	Fim
ARRAIAL DO CABO	8	7	1	197,3	46,3	77	109,8	66,3	34,1	26,1	18,7	29,9	58,8	122,1	125,7	2007	2009
CAMBUCI	35	7	4	393,4	116	57,7	63,3	12,7	2,7	6,3	14,5	45,5	137,5	205,1	325,5	2007	2009
CAMPOS DOS GOYTACAZES	13	7	5	313,6	104,5	138	177,7	60,5	86,5	32,7	24,2	88,1	270,7	324,2	372,9	2007	2009
DUQUE DE CAXIAS	19	12	3	254	215,9	211,3	214,8	119,7	52,1	75,4	52,9	65	147,3	240,7	441,5	2007	2009
MACAÉ	2	7	5	321,4	121,5	93,7	164,3	51,9	42,1	37,7	17,6	84,1	181,7	209,7	210,5	2007	2009
PARATI	5	7	6	228,3	246,5	240,1	115	26,7	34,3	18,8	35,2	38,1	66,7	140,6	103,1	2007	2009
PETRÓPOLIS	809	1	3	444,6	196,4	174,9	208,5	100,4	37,2	64,2	49,9	45,9	93,3	339	182,9	2007	2009
PORCIÚNCULA	90	2	4	340	164,6	0	112,8	0	0	0	0	24,2	88,8	186,5	174	2007	2007
RESENDE	407	8	6	253,3	279,7	177,6	88,2	49,2	27,7	35,9	43	62,9	140,2	286,8	244,5	2007	2009
RIO DE JANEIRO	2	7	3	448,3	351,2	481,6	221,4	174,3	162,9	121,5	154,1	216,7	340,6	393,3	589,8	2007	2009
SÃO GONÇALO	19	5	3	76,5	88,7	70,2	60,5	47,5	17,6	32,8	36,4	40,9	79,8	151,9	217,9	2007	2009
SEROPÉDICA	26	4	3	136,7	138,9	101,9	76,7	43,3	30,3	41,7	43,1	72,6	151,5	145,1	224,8	2007	2009
TERESÓPOLIS	871	11	3	539,5	269,5	298	253,3	145,4	74,4	81,1	74,1	164,1	270,3	524,7	447,6	2007	2009
VALENCA	560	11	6	279,1	208,3	132,4	98,4	21,7	16,7	18,5	10,9	36,2	102,2	175,5	260,3	2007	2009
