descmunicipio;ano;altitude;CodClima;CodRegiao;precipitacao_Janeiro;precipitacao_Fevereiro;precipitacao_Março;precipitacao_Abril;precipitacao_Maio;precipitacao_Junho;precipitacao_Julho;precipitacao_Agosto;precipitacao_Setembro;precipitacao_Outubro;precipitacao_Novembro;precipitacao_Dezembro;umidade_Janeiro;umidade_Fevereiro;umidade_Março;umidade_Abril;umidade_Maio;umidade_Junho;umidade_Julho;umidade_Agosto;umidade_Setembro;umidade_Outubro;umidade_Novembro;umidade_Dezembro;temperatura_Janeiro;temperatura_Fevereiro;temperatura_Março;temperatura_Abril;temperatura_Maio;temperatura_Junho;temperatura_Julho;temperatura_Agosto;temperatura_Setembro;temperatura_Outubro;temperatura_Novembro;temperatura_Dezembro
ANGRA DOS REIS;1939;6;7;6;126,5;37,0;20,2;97,2;5,0;9,2;5,0;10,2;14,2;31,7;162,7;145,2;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
ANGRA DOS REIS;1940;6;7;6;197,1;130,8;185,6;27,0;0,0;8,7;3,1;6,5;42,2;113,4;100,1;98,9;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
ANGRA DOS REIS;1941;6;7;6;124,1;96,7;61,6;49,4;26,0;2,3;61,0;6,4;152,8;47,6;52,7;295,2;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
ANGRA DOS REIS;1942;6;7;6;189,3;29,2;117,9;45,6;39,3;7,9;9,2;13,0;14,0;148,8;127,6;347,4;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
ANGRA DOS REIS;1943;6;7;6;282,4;63,4;48,4;48,9;1,2;64,5;2,0;25,7;24,1;174,2;27,6;192,9;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
ANGRA DOS REIS;1944;6;7;6;88,1;280,0;31,1;24,3;45,8;6,7;23,9;0,0;16,6;67,0;66,5;158,6;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
ANGRA DOS REIS;1945;6;7;6;142,0;60,8;149,7;84,1;50,1;48,5;4,2;10,8;13,0;58,0;209,5;162,5;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
ANGRA DOS REIS;1946;6;7;6;146,1;2,4;69,0;96,3;19,2;15,4;8,4;0,0;58,0;72,4;124,6;109,8;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
ANGRA DOS REIS;1947;6;7;6;132,7;121,0;137,9;31,1;15,6;0,0;108,9;71,1;28,9;152,7;94,7;195,1;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
ANGRA DOS REIS;1948;6;7;6;39,5;119,9;164,1;5,6;48,4;16,4;33,9;14,6;12,5;38,3;76,0;283,7;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
